,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
0,MartinHafer's Review of Casablanca - IMDb, - Noun Phrases : ,casablanca,insightful reviews,cinematic masterpiece,'s worth,humphrey bogart,wonderful films,rick,sure,african queen,the caine mutiny,casablanca,casablanca,perfect film,imdb,ca n't,the shawshank redemption,the dark knight,bad films,casablanca.aside,bogart,michael curtiz,great stock,warner,character actors,sydney greenstreet,peter lorre,cuddles sakall,conrad veidt,perfect scary,nazi,claude rains,usual wonderful self,ingrid bergman,paul henreid,great actor,immense talent,amazing,top script,warner,top film,fine romance,fine film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tweekums's Review of Casablanca - IMDb, - Noun Phrases : ,'ll recognise,humphrey bogart,rick blaine,casablanca,ugarte,vichy,french police,ugarte,victor laszlo,czech,nazi,europe,portugal,laszlo,'s wife,ilsa,rick,paris,rick,victor,ilsa,victor,ilsa,victor,casablanca,ilsa,bogart,great performance,ingrid bergman,ilsa,real chemistry,bogart,claude rains,french policeman,'s loyalty,paul henreid,victor laszlo,faultless too.it,great romances,war film,subtle comedy moments,film 's age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ma-cortes's Review of Casablanca - IMDb, - Noun Phrases : ,casablanca,famous movies,run-of-the-mill studio production,landmark cinema,humphrey bogart,'s forty,studio contract player,whole string,warner,'s classics,jack warner,rick,'s role,george raft,b. wallis,bogart,important character,mobster roles,afterwards romantic protagonists,tough main lead,romantic film,cinema history,rick,ilsa,final farewell,television programmes .casablanca,francis ford coppola,sam¨,herbert ross,immortal images,memorable quotes,bogart,bergman,¨here 's,film originates unforgotten characters,wilson,piano player,ingrid bergman,sam¨,bergman,arthur edeson,orry kelly,designer costume,bergman,'s luminous beauty,fabulous plethora,claude rains,paul henreid,conrad veidt,peter lorre,s.z.sakal,madeleine lebeau,john qualen,dooley wilson,large number,famous scene,marseillaise,german song,watch,rhine,real tears,actual refugees,jews,nazi,germany,europe,motion picture,sensitive score,max steiner,michael curtiz,well,classic cinema lovers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,moonspinner55's Review of Casablanca - IMDb, - Noun Phrases : ,humphrey bogart,preeminent role,tough nightclub owner,rick blaine,algiers,refugee ex-girlfriend,ingrid bergman,new husband,nazis,bogart,white tuxedo jacket,welcome sight,bergman,michael curtiz,curtiz,classic sequences,rick,beautiful friendship,ilsa,'s emotional devotion sworn,beautiful,arthur edeson,max steiner,'s score,herman hupfeld,goes,* * *,* * * *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TheLittleSongbird's Review of Casablanca - IMDb, - Noun Phrases : ,casablanca,extraordinary film,n't care,old film,max steiner,goes,national anthem,shawshank redemption,great memorable lines,destiny,humphrey bogart,cinema 's,lead performances,cynical sentimentalist,rick blain,ingrid bergman,ilsa,young woman,paul henreid,fugitive husband,claude rains,renault,overall,academy award,bethany cox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,bkoganbing's Review of Casablanca - IMDb, - Noun Phrases : ,hollywood,george raft,humphrey bogart,sierra,maltese falcon,casablanca,raft,good sense,casablanca.check,background,warner,george raft,peter lorre,sydney greenstreet,raft,casablanca,routine action/adventure story,background,bogey,humphrey bogart,american soldiers,casablanca,right,rick,'s cafe,americain,casablanca,morocco,vicky,french government,whole lot,bogey,own code,ingrid bergman,paris,german occupation,paul henreid,anti-fascist leader.the rest,bogey,'s soul,torn,own anti-fascist beliefs,certain practical necessities,hostile environment,casablanca,great film,ingrid bergman,lovely incandescence,bogey,'s cynical screen persona,indelible characterizations,peter lorre,sydney greenstreet,claude rains,conrad veidt,whole rest,cast film,great ballad,casablanca,'s theme song.i,goes,george white scandals,broadway,rudy vallee,casablanca,musicians,record companies,new records,rca victor,vallee,'s record,casablanca,white house,personal interest,fdr,churchill,wartime conferences,casablanca,jack warner,classic scenes,casablanca,germans,rick,'s place,paul henreid,orchestra leader,marsellaise,bogey,orchestra plays,henreid,rains,actor,supporting actor,casablanca,minor roles,curt bois,john qualen,fellow resistance leader,s.z,sakall,rick,ensemble cast,casablanca,picture,michael curtiz.casablanca,generations unto infinity,,,,,,,,,,,,,,,,,,,,,,,
6,Michael_Elliott's Review of Casablanca - IMDb, - Noun Phrases : ,casablanca,* * * *,michael curtiz,war-torn city,humphrey bogart,ingrid bergman,hollywood,personal level,treasure,sierra madre,bogart,bogart,sure,tough guy,flashback sequence shows,claude rains,bergman,weakest character,rains,peter lorre,paul henreid,conrad veidt,sydney greenstreet,dooley wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SnoopyStyle's Review of Casablanca - IMDb, - Noun Phrases : ,casablanca,desperate place,wwii,refugees,nazis,back route,casablanca,lisbon,free world,french colony,double dealers,freedom fighters,rick blaine,humphrey bogart,popular nightspot,rick,louis renault,claude rains,local police,underground leader,victor laszlo,germans,ugarte,peter lorre,sweaty people-smuggler,german couriers,valuable letters,rick,rick,'s surprise,lazslo,old flame,ilsa lund,ingrid bergman,.it 's,bogie,rick,movie icons,movie world,right time,propaganda film,perfect time,standard bearer,movie romanticism,romeo,juliet,paul henreid,'s stiffness,laszlo,big cliché,iconic status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Hitchcoc's Review of Casablanca - IMDb, - Noun Phrases : ,countless responders,film criticism,someone,modern film audiences,contemporary films,granted,bad films,great ones,special effects,films need,special effects,real stars,bogie,bergmann,todays,star system,glamorous actors,hackman,eastwood,bergmann,casablanca,french national anthem,cabaret,nazis,belongs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Kirpianuscus's Review of Casablanca - IMDb, - Noun Phrases : ,people 's links,profound analysis,war time,casablanca,new view,new gesture 's signification,special gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
